                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8812,                 3.0701,                 1.6939,                0.00975,                0.91667,                0.20845,                0.14175,                 1.2168,                 3.2222,                 1.2974,             0.00045009,             0.00045009,             0.00045009
                      2,                  1.409,                 1.8879,                 1.3951,                0.64754,                0.08333,                0.11568,                0.03834,                 1.3616,                  3.443,                  1.451,             0.00091594,             0.00091594,             0.00091594
                      3,                 1.3829,                 1.6727,                 1.3642,                0.36686,                0.35417,                0.36439,                0.20701,                 1.4927,                 2.4535,                 1.4466,              0.0013809,              0.0013809,              0.0013809
                      4,                 1.3846,                 1.5706,                 1.3572,                0.74113,                0.83333,                 0.7856,                0.52156,                  1.257,                 1.5683,                  1.258,               0.001662,               0.001662,               0.001662
                      5,                   1.33,                 1.3907,                  1.311,                0.93099,                  0.875,                0.96641,                0.62396,                 1.2681,                0.99329,                 1.2627,              0.0016604,              0.0016604,              0.0016604
                      6,                 1.3724,                 1.3244,                 1.3752,                 0.8993,                 0.8125,                0.85227,                0.52118,                 1.3824,                 1.4994,                 1.4354,              0.0016587,              0.0016587,              0.0016587
                      7,                 1.3176,                  1.204,                 1.3275,                0.95532,                0.89098,                0.95283,                0.58657,                 1.4206,                 1.5856,                 1.4466,              0.0016571,              0.0016571,              0.0016571
                      8,                 1.3536,                 1.1415,                 1.3439,                0.79933,                0.91289,                0.90739,                0.60959,                 1.2426,                 1.6918,                 1.3357,              0.0016554,              0.0016554,              0.0016554
                      9,                 1.2835,                 1.0349,                 1.2945,                0.97236,                0.91667,                0.97505,                0.64514,                 1.2479,                 3.0978,                 1.3683,              0.0016538,              0.0016538,              0.0016538
                     10,                 1.2473,                0.99665,                 1.3051,                0.76148,                 0.9375,                 0.8266,                0.53066,                 1.2457,                 3.7279,                 1.3351,              0.0016521,              0.0016521,              0.0016521
                     11,                 1.2803,                0.95596,                 1.2969,                0.97771,                0.91376,                0.95716,                0.64729,                 1.1655,                0.90369,                 1.2951,              0.0016505,              0.0016505,              0.0016505
                     12,                 1.2355,                0.90768,                 1.2843,                0.95025,                0.91667,                0.97352,                0.64676,                 1.1788,                0.76654,                 1.2619,              0.0016488,              0.0016488,              0.0016488
                     13,                 1.2306,                0.92278,                 1.2814,                 0.9565,                0.91611,                0.97156,                0.63681,                 1.1491,                 1.8946,                 1.2497,              0.0016472,              0.0016472,              0.0016472
                     14,                 1.2382,                0.89013,                 1.2944,                0.90377,                0.97829,                0.94839,                 0.5992,                 1.1985,                0.72741,                 1.3058,              0.0016455,              0.0016455,              0.0016455
                     15,                 1.2859,                  0.872,                 1.3156,                0.98838,                0.95833,                0.97916,                0.61164,                 1.2963,                 1.0081,                  1.376,              0.0016439,              0.0016439,              0.0016439
                     16,                 1.2317,                0.80196,                 1.2792,                0.99882,                0.97917,                0.99382,                0.66987,                 1.1231,                0.54243,                 1.2532,              0.0016422,              0.0016422,              0.0016422
                     17,                 1.2083,                0.79231,                 1.2658,                0.96103,                      1,                0.97929,                0.66819,                 1.1033,                0.58809,                  1.241,              0.0016406,              0.0016406,              0.0016406
                     18,                 1.2014,                0.80949,                  1.276,                 0.9791,                0.97597,                0.98769,                0.62224,                 1.2326,                0.61978,                  1.296,              0.0016389,              0.0016389,              0.0016389
                     19,                 1.2143,                0.80146,                 1.2773,                      1,                0.62249,                0.76996,                0.46538,                 1.4176,                 1.3608,                 1.4042,              0.0016373,              0.0016373,              0.0016373
                     20,                 1.1956,                0.76681,                 1.2742,                0.97823,                0.93626,                0.97186,                0.59209,                 1.3425,                 1.2554,                 1.3684,              0.0016356,              0.0016356,              0.0016356
                     21,                 1.1873,                0.75661,                 1.2561,                      1,                0.95125,                0.99265,                0.66118,                 1.2102,                0.71747,                 1.2805,               0.001634,               0.001634,               0.001634
                     22,                 1.1799,                 0.7512,                 1.2494,                0.89839,                0.97917,                 0.9676,                0.63885,                 1.2397,                0.89247,                 1.2599,              0.0016323,              0.0016323,              0.0016323
                     23,                 1.1624,                0.72763,                 1.2404,                      1,                0.99836,                  0.995,                0.67807,                 1.1507,                0.52584,                 1.2453,              0.0016307,              0.0016307,              0.0016307
                     24,                 1.2098,                0.73287,                  1.251,                0.93243,                0.86264,                0.93819,                0.63633,                 1.1864,                0.84214,                 1.2829,               0.001629,               0.001629,               0.001629
                     25,                 1.1664,                0.73964,                 1.2522,                0.99748,                0.83333,                0.92252,                0.63588,                 1.1399,                 1.0853,                 1.2977,              0.0016274,              0.0016274,              0.0016274
