                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3063,                 3.4135,                 1.3282,                 0.0131,                 0.9322,                0.04384,                0.03295,                0.73584,                 3.0912,                 1.0037,                0.00012,                0.00012,                0.00012
                      2,                0.90397,                 2.0971,                 1.0364,                0.74129,                0.31571,                0.66576,                0.45487,                0.90786,                 2.4366,                 1.0147,             0.00025974,             0.00025974,             0.00025974
                      3,                0.87453,                 1.2764,                0.98414,                      1,                0.69428,                0.98233,                0.79038,                0.74476,                 1.9393,                0.93396,             0.00039921,             0.00039921,             0.00039921
                      4,                0.77482,                 1.0854,                0.95728,                      1,                0.20191,                0.90995,                 0.7562,                0.69634,                 2.2129,                0.91913,              0.0005384,              0.0005384,              0.0005384
                      5,                0.84431,                 1.0696,                0.99579,                0.01381,                0.98305,                0.47607,                0.34975,                0.78771,                 2.6556,                0.98248,             0.00067731,             0.00067731,             0.00067731
                      6,                0.83058,                0.93836,                 1.0039,                      1,                0.07866,                0.38377,                0.28782,                0.73812,                   2.65,                 1.0122,             0.00081594,             0.00081594,             0.00081594
                      7,                0.78717,                0.89603,                0.96035,                0.93905,                0.52232,                0.62389,                0.51019,                0.71526,                 2.5837,                0.98643,              0.0009543,              0.0009543,              0.0009543
                      8,                0.75028,                 1.0131,                0.96151,                0.97804,                0.37747,                 0.8952,                0.72511,                 0.7257,                 2.1503,                0.96104,              0.0010924,              0.0010924,              0.0010924
                      9,                0.84919,                 1.9023,                 1.0128,                0.96851,                0.26067,                 0.7943,                0.63307,                 0.6979,                 2.3223,                0.97669,              0.0012302,              0.0012302,              0.0012302
                     10,                0.81446,                 1.0469,                 1.0277,                      1,                0.73549,                0.93614,                 0.7464,                0.80741,                 1.7689,                 1.0046,              0.0013677,              0.0013677,              0.0013677
                     11,                0.77708,                0.83743,                0.95165,                0.96962,                0.81138,                0.93242,                 0.7436,                0.80548,                 1.3485,                 1.0112,               0.001505,               0.001505,               0.001505
                     12,                0.78043,                0.80577,                0.95387,                0.93767,                0.89245,                0.95537,                0.76805,                 0.7607,                 1.1468,                0.98492,              0.0016419,              0.0016419,              0.0016419
                     13,                0.75605,                0.76314,                0.95862,                0.91302,                 0.8896,                0.95431,                0.79516,                0.70807,                 1.0602,                0.95885,              0.0017786,              0.0017786,              0.0017786
                     14,                0.75676,                0.75587,                0.95215,                0.95652,                0.93219,                  0.968,                0.78776,                0.72144,                0.85848,                0.99079,               0.001915,               0.001915,               0.001915
                     15,                0.76194,                0.76109,                0.97821,                0.95285,                0.90678,                0.95568,                0.76761,                0.77705,                0.94098,                 1.0259,              0.0019723,              0.0019723,              0.0019723
                     16,                0.75257,                0.78315,                0.97248,                0.89642,                0.82203,                0.90944,                0.67203,                0.90408,                 1.2275,                 1.1254,              0.0019703,              0.0019703,              0.0019703
                     17,                0.68372,                0.69318,                0.92263,                0.95747,                0.95387,                0.97144,                0.75724,                0.80377,                0.99164,                 1.0532,              0.0019683,              0.0019683,              0.0019683
                     18,                0.70801,                0.69097,                 0.9669,                0.96637,                0.97421,                0.98161,                0.74819,                 0.8151,                 0.8059,                 1.0678,              0.0019663,              0.0019663,              0.0019663
                     19,                0.71911,                0.69479,                0.94269,                0.99114,                0.94802,                0.98135,                0.80883,                 0.6688,                0.65059,                0.97305,              0.0019644,              0.0019644,              0.0019644
